Category,Service Name,Customer Description,Unit Type,Base Price,Minimum Charge,Add-ons,Internal Notes
Driveway & Gravel,Gravel Driveway Refresh - Standard,"Owner-operated gravel driveway refresh using tracked Bobcat equipment and AB-3 road base. Delivered, spread, graded, and crowned for a smooth, durable finish. Free quotes. Before & after photos available.",Per ton (applied),145.00,650.00,Pothole repair; Edge re-establishment; Light grading,Typical residential drive 100-250 ft uses 8-18 tons. Confirm tonnage based on width/depth. Margin target 50%. Best Attachment: standard bucket. Typical project 4-8 hrs.
Driveway & Gravel,Gravel Spread - Customer-Supplied Material,"Owner-operated spreading and grading of customer-supplied gravel using tracked Bobcat equipment. Smooth, level finish with proper crown. Free quotes.",Per ton,65.00,450.00,Light grading; Pothole prep,Lower-margin work. Only book on small jobs or when paired with other services. Best Attachment: standard bucket.
Driveway & Gravel,Pothole Repair - Per Pothole,"Targeted pothole repair using compacted AB-3 base. Cleaned, filled, and graded for a durable patch. Tracked Bobcat equipment. Owner-operated. Free quotes.",Each,125.00,185.00,Driveway refresh; Edge work,Bundle 4+ potholes into Pothole Package. Single-pothole minimum $185 due to mobilization. Best Attachment: standard bucket. Typical 1-4 hrs.
Driveway & Gravel,Driveway Grading & Reshaping,Reshape and re-crown an existing gravel drive for proper drainage and a smooth ride. Tracked Bobcat equipment. Owner-operated. Free quotes.,Per hour,185.00,370.00,Gravel top dressing; Drainage correction,2-hr minimum on-site. Most jobs 2-4 hrs. Push gravel-add-on at quote. Best Attachment: standard bucket.
Driveway & Gravel,Driveway Culvert Repair,"Repair, replace, or extend driveway culverts using tracked Bobcat equipment. Includes excavation, pipe work, backfill, and gravel restoration to keep your driveway draining properly. Owner-operated. Free quotes.",Per project,1650.00,850.00,Gravel top dressing; Embankment regrade; AB-3 driveway refresh,"Most residential jobs $1,200-$2,500 (12-18 in HDPE, 15-20 ft span). Material pass-through plus 25-35% markup. Half day to full day typical. Best Attachment: standard bucket. Quote Confidence: Low - site visit recommended."
Property Cleanup,Brush Pile Removal - Standard,"Owner-operated removal of accumulated brush, limbs, and yard debris using tracked Bobcat with grapple. Clean haul-off included. Free quotes. Before & after photos available.",Per pile (pickup-truck size),275.00,450.00,Fence line cleanup; Storm debris removal,Confirm if customer can burn on-site (rural). Pile size verified on-site; reserve right to re-quote. Best Attachment: grapple. Typical 2-4 hrs.
Property Cleanup,General Property Cleanup,"Owner-operated cleanup of yard debris, fallen limbs, scrap, and accumulated material using tracked Bobcat equipment. Free quotes.",Per hour,185.00,625.00,Brush hauling; Dump fee,Half-day minimum recommended ($625) unless paired with another service. Best Attachment: grapple.
Property Cleanup,Storm Cleanup - Emergency Response,"Rapid-response storm debris cleanup. Tree limb removal, access clearing, debris staging or haul-off using tracked Bobcat equipment. Owner-operated. Free quotes. Before & after photos available.",Per hour,215.00,860.00,Small tree removal; Fence line work,4-hr minimum. Add 25% emergency surcharge for under 48-hr response. Highest urgency = highest margin. Best Attachment: grapple.
Vegetation Management,Acreage Mowing - Tall Grass / Pasture,"Heavy-duty rotary cutting of tall grass, light brush, and overgrown pasture using tracked Bobcat with brush cutter. Suitable for grass up to 6 ft. Owner-operated. Free quotes.",Per acre,195.00,450.00,Fence line cleanup; Tree edge cleanup,Hilly/wet acreage +20%. Best margin: 2+ acre flat jobs. Best Attachment: brush cutter. Typical 30-45 min per acre.
Vegetation Management,Heavy Brush Cutting - Per Hour,Aggressive brush cutting in dense overgrown areas using tracked Bobcat with heavy-duty cutter attachment. Clears saplings up to 3 in diameter. Owner-operated. Free quotes.,Per hour,235.00,850.00,Stump grinding follow-up; Debris removal,Use when acre pricing won't cover density. Always quote site-unseen as range. Best Attachment: brush cutter. Higher minimum due to attachment wear.
