Category,Service Name,Unit Type,Low Price,Typical Price,High Price,Minimum Charge,Attachment Needed,Material Notes,Margin Notes
Driveway & Gravel,Gravel driveway repair,Per ton applied,$115.00,$145.00,$185.00,$650.00,Standard bucket,AB-3 road base; supplier $24-$32/ton + delivery,Target 50% margin. Highest repeat residential service.
Driveway & Gravel,Gravel spreading (customer-supplied),Per ton,$45.00,$65.00,$85.00,$450.00,Standard bucket,Customer-supplied material,Low margin (30-40%). Bundle only.
Driveway & Gravel,Pothole repair,Per pothole,$75.00,$125.00,$225.00,$450.00,Standard bucket,"AB-3 base, minimal tonnage",Very high margin (60-70%). Fastest cash flow.
Driveway & Gravel,Driveway grading & reshaping,Per hour,$165.00,$185.00,$215.00,$370.00,Standard bucket,No material (unless top dressing added),Medium-high margin. Pair with gravel for higher ticket.
Property Cleanup,Property cleanup,Per hour,$165.00,$185.00,$225.00,$650.00,Grapple,Dump fees pass-through + 20% handling,Medium margin (40-50%). Volume play with repeat potential.
Property Cleanup,Brush pile removal,Per pickup-truck pile,$185.00,$275.00,$425.00,$450.00,Grapple,Confirm burn-on-site option (rural) for higher margin,High margin (55-65%). On-site burn = pure margin.
Property Cleanup,Storm cleanup (emergency),Per hour,$185.00,$215.00,$275.00,$860.00,Grapple,Variable dump fees,Very high margin (65-75%). Add 25% emergency surcharge.
Vegetation Management,Acreage mowing,Per acre,$145.00,$195.00,$295.00,$450.00,Brush cutter,Blade wear $35/hr reserve,Medium margin. Recurring seasonal revenue.
Vegetation Management,Brush cutting (heavy),Per hour,$215.00,$235.00,$275.00,$650.00,Brush cutter,High blade wear,Medium-high margin. Always quote site-unseen as range.
Vegetation Management,Fence line cleanup,Per linear foot,$4.50,$7.50,$14.00,$750.00,Brush cutter or grapple,"Density-based: Light 4.50, Medium 7.50, Heavy 14",High margin (50-60%). Project-style work.
Tree & Stump,Stump grinding,Per inch diameter,$5.00,$7.00,$11.00,$185.00,Stump grinder,$30/hr wear reserve plus tooth pass-through,Very high margin (60-70%). Track tooth wear carefully.
Tree & Stump,Small tree removal,Per tree,$185.00,$385.00,$850.00,$450.00,Grapple + chainsaw,Brush haul-off if no on-site burn,Medium-high margin (45-55%). Bundle with stump grinding.
Grading & Dirt Work,Light grading,Per hour,$165.00,$185.00,$215.00,$650.00,Standard bucket or Harley rake,Topsoil if seeding follow-up,Medium-high margin. Pair with material.
Grading & Dirt Work,Dirt work,Per hour,$175.00,$195.00,$235.00,$650.00,Standard bucket,Fill dirt or topsoil pass-through,Medium margin (40-50%). Confirm utility locates.
Grading & Dirt Work,Minor drainage correction,Per project,$650.00,"$1,450.00","$3,200.00",$650.00,Standard bucket,1 in clean rock for French drains; ABC mix,Medium margin. Avoid engineered work.
Grading & Dirt Work,Material spreading,Per ton,$35.00,$55.00,$75.00,$450.00,Standard bucket,Material at delivered cost + 25-35% markup,Low-medium margin (30-40%). Bundle only.
Demolition,Small demolition,Per project,$850.00,"$2,450.00","$6,500.00",$850.00,Grapple,Construction debris dump $185-$385 per load,Medium-high margin. Quote on site only.
Hourly / Skid Steer,Loader work,Per hour,$165.00,$185.00,$215.00,$450.00,Standard bucket or forks,Light material handling,Medium margin. Filler work.
Hourly / Skid Steer,Skid steer hourly (general),Per hour,$165.00,$185.00,$215.00,$450.00,Standard bucket,Attachment premium per Section 8,Medium margin. 2-hr minimum on-site.
